k,total_params,scheduler,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,max_train_batches,max_eval_batches,compile,num_workers,auto_batch_by_k,active_column_fraction,effective_train_batch_size,effective_eval_batch_size,active_column_count,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,d_model,ensemble_loss,avg_individual_loss,ensemble_gain,member_certainty_mean,member_certainty_min,member_certainty_max,member_certainty_std,prediction_dissimilarity_kl,member_certainty_by_index,most_certain_member_index,least_certain_member_index,member_certainty_range,member_certainty_observed_count_min,member_certainty_observed_count_max
16,1000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,96,16,4,24576,3145728,1888,241664,72,12.874239218437065,21.218632843534824,8.34439362509776,0.12146278003514824,0.08838489418060093,0.15966260786783898,0.028065136641705946,0.8327151723837448,"[0.18545137345790863, 0.18508072197437286, 0.14306901395320892, 0.11416153609752655, 0.12897413969039917, 0.16006456315517426, 0.15840700268745422, 0.1311221867799759, 0.10396133363246918, 0.08705894649028778, 0.08542294800281525, 0.07833222299814224, 0.08023301512002945, 0.0883423238992691, 0.10862262547016144, 0.10265830159187317]",0,11,0.10711915045976639,20,38
16,1000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,96,16,4,24576,3145728,1888,241664,72,12.4119364366693,20.17750714188915,7.765570705219851,0.11390190249529936,0.07999613581193706,0.15128541403150153,0.027826748349332898,0.8786797475511745,"[0.16356982290744781, 0.10940266400575638, 0.11060937494039536, 0.11542748659849167, 0.09554710239171982, 0.09811025857925415, 0.1082112193107605, 0.10606380552053452, 0.10211019217967987, 0.08175694197416306, 0.09760971367359161, 0.05608035624027252, 0.06144922599196434, 0.1404251605272293, 0.16276337206363678, 0.1742418110370636]",15,11,0.11816145479679108,19,42
16,10000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,96,16,4,24576,3145728,1888,241664,228,12.704550444069556,25.626030485508807,12.921480041439251,0.15610934143601837,0.08364697072212979,0.24930922466061883,0.06425711522825946,0.7288519867648513,"[0.11464221775531769, 0.23603415489196777, 0.3327462077140808, 0.2623208463191986, 0.16324304044246674, 0.1410304307937622, 0.14449453353881836, 0.17847761511802673, 0.1287461817264557, 0.07530590891838074, 0.060598958283662796, 0.07666900008916855, 0.08049450814723969, 0.11066792160272598, 0.24334761500358582, 0.10212104022502899]",2,10,0.272147249430418,24,37
16,10000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,96,16,4,24576,3145728,1888,241664,228,12.637574009976145,26.497372578766388,13.859798568790241,0.21854913373619822,0.14135561599317242,0.3191530656511501,0.06864709674649067,0.7531412988269733,"[0.2549140155315399, 0.2783275842666626, 0.24716860055923462, 0.14297133684158325, 0.15754930675029755, 0.17399311065673828, 0.10494033247232437, 0.18935848772525787, 0.24037042260169983, 0.2768682539463043, 0.4951237142086029, 0.20752033591270447, 0.20435930788516998, 0.13050031661987305, 0.18255864083766937, 0.20791102945804596]",10,6,0.39018338173627853,19,37
64,1000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,24,16,16,6144,786432,1888,241664,36,9.978204420057393,19.10934506432485,9.131140644267454,0.19712601703102306,0.07574633947747239,0.39358353463269896,0.08902835918558856,1.9257799467798007,"[0.09920702874660492, 0.18813148140907288, 0.36280784010887146, 0.4259054660797119, 0.41434043645858765, 0.41655299067497253, 0.4006817638874054, 0.42592838406562805, 0.10748395323753357, 0.12452613562345505, 0.10157081484794617, 0.11015351116657257, 0.10724243521690369, 0.10657144337892532, 0.12031155079603195, 0.15290288627147675, 0.16410936415195465, 0.11895757913589478, 0.2038133144378662, 0.2195061594247818, 0.17888566851615906, 0.20145602524280548, 0.20039862394332886, 0.16695402562618256, 0.0667065754532814, 0.09164692461490631, 0.10254073143005371, 0.08660855144262314, 0.08048796653747559, 0.08216090500354767, 0.06803812831640244, 0.05988863855600357, 0.08594834059476852, 0.10378549247980118, 0.3212231397628784, 0.28438520431518555, 0.2413402646780014, 0.23194122314453125, 0.26936081051826477, 0.3084976077079773, 0.2713124752044678, 0.1505185067653656, 0.23057007789611816, 0.26689422130584717, 0.2591237723827362, 0.2670448422431946, 0.23837587237358093, 0.23662599921226501, 0.3040219843387604, 0.18705324828624725, 0.17357537150382996, 0.18914149701595306, 0.17629563808441162, 0.16703015565872192, 0.17242279648780823, 0.15916739404201508, 0.16899216175079346, 0.1558329313993454, 0.16716958582401276, 0.19711753726005554, 0.26421746611595154, 0.23857124149799347, 0.18349674344062805, 0.1719837337732315]",7,31,0.3660397455096245,20,41
64,1000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,24,16,16,6144,786432,1888,241664,36,10.0273560427003,19.48982928971113,9.462473247010829,0.16350511890851846,0.06509965456138223,0.33304088297536816,0.08204968541986861,2.012609437360602,"[0.2432149201631546, 0.22368338704109192, 0.25593051314353943, 0.26971104741096497, 0.2164943814277649, 0.06815432757139206, 0.060541246086359024, 0.06457163393497467, 0.08158427476882935, 0.11743542551994324, 0.15735816955566406, 0.16851629316806793, 0.1764177680015564, 0.1634409874677658, 0.14521163702011108, 0.14039726555347443, 0.09805213660001755, 0.09173984080553055, 0.14005036652088165, 0.1144321858882904, 0.08322342485189438, 0.10755886137485504, 0.08496616780757904, 0.07266486436128616, 0.07779436558485031, 0.09136209636926651, 0.08700698614120483, 0.06581065058708191, 0.15322601795196533, 0.1654491424560547, 0.10277118533849716, 0.11325157433748245, 0.13452188670635223, 0.1480819284915924, 0.11347763985395432, 0.08100332319736481, 0.43905889987945557, 0.1150301992893219, 0.19661062955856323, 0.24685433506965637, 0.19605806469917297, 0.16414774954319, 0.2821348011493683, 0.2417716383934021, 0.2631019353866577, 0.11927590519189835, 0.08399941772222519, 0.09717067331075668, 0.11500974744558334, 0.18383683264255524, 0.296440988779068, 0.28887030482292175, 0.341057151556015, 0.2354581505060196, 0.321014940738678, 0.3006022870540619, 0.27188897132873535, 0.26449906826019287, 0.30184876918792725, 0.07796098291873932, 0.08831290155649185, 0.07875294983386993, 0.060535382479429245, 0.06910295784473419]",36,62,0.3785235174000263,17,43
64,10000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,24,16,16,6144,786432,1888,241664,114,10.300576945482675,27.74760076555155,17.44702382006888,0.18338355030548775,0.07351713561279288,0.3681193093879748,0.07937212367305312,1.9932207232814725,"[0.11660097539424896, 0.13661162555217743, 0.16494661569595337, 0.26496264338493347, 0.11806604266166687, 0.0974123626947403, 0.10790235549211502, 0.15376447141170502, 0.14743301272392273, 0.301695853471756, 0.2928146421909332, 0.21574798226356506, 0.15288421511650085, 0.10540781170129776, 0.10057864338159561, 0.09628238528966904, 0.11712030321359634, 0.10618311911821365, 0.09928014874458313, 0.14452292025089264, 0.23369915783405304, 0.2154117375612259, 0.22924329340457916, 0.23000982403755188, 0.07212125509977341, 0.09549440443515778, 0.09509768337011337, 0.13052895665168762, 0.09778887778520584, 0.05110995098948479, 0.11972441524267197, 0.2275838553905487, 0.22428084909915924, 0.2375316321849823, 0.34636762738227844, 0.2328547239303589, 0.20466676354408264, 0.21242310106754303, 0.18758918344974518, 0.22276753187179565, 0.1728469580411911, 0.14257344603538513, 0.17930211126804352, 0.16006726026535034, 0.12006815522909164, 0.06990066170692444, 0.07846476137638092, 0.09504123032093048, 0.11144959926605225, 0.28617748618125916, 0.23532503843307495, 0.21122682094573975, 0.2014538049697876, 0.21623338758945465, 0.2195538878440857, 0.36879509687423706, 0.29149502515792847, 0.1797516793012619, 0.2146037071943283, 0.22242124378681183, 0.20727914571762085, 0.3030974566936493, 0.4740082323551178, 0.21507902443408966]",62,29,0.422898281365633,17,38
64,10000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,24,16,16,6144,786432,1888,241664,114,10.400435973021944,27.421508837554413,17.02107286453247,0.2994712096149639,0.05675585189108121,0.7851561446816234,0.21829365635827436,2.008179551464016,"[0.40417060256004333, 0.4597519636154175, 0.41781800985336304, 0.2607439458370209, 0.42450669407844543, 0.4737139046192169, 0.10953623801469803, 0.1212635263800621, 0.11675674468278885, 0.08183739334344864, 0.08532865345478058, 0.0685083195567131, 0.07481072098016739, 0.06381413340568542, 0.06988134235143661, 0.07949963212013245, 0.12102184444665909, 0.10854378342628479, 0.07582470774650574, 0.06957714259624481, 0.049955591559410095, 0.04474450275301933, 0.04406723380088806, 0.12151739746332169, 0.07435449212789536, 0.07836128026247025, 0.11336255073547363, 0.16796916723251343, 0.17456112802028656, 0.15018999576568604, 0.09541419893503189, 0.5795904397964478, 0.4757654368877411, 0.4807945191860199, 0.4597843587398529, 0.48477399349212646, 0.8201175928115845, 0.9585524797439575, 0.2645757794380188, 0.44702696800231934, 0.30522796511650085, 0.40825268626213074, 0.45016616582870483, 0.38818860054016113, 0.35835593938827515, 0.5491169095039368, 0.7414382100105286, 0.7868632078170776, 0.6783189177513123, 0.5281827449798584, 0.19878241419792175, 0.10017221421003342, 0.2590167224407196, 0.3127546012401581, 0.1904345154762268, 0.394533634185791, 0.3941209316253662, 0.3139705955982208, 0.12644101679325104, 0.23721300065517426, 0.14870131015777588, 0.1221904531121254, 0.12971703708171844, 0.7089365720748901]",37,22,0.9144852459430695,20,39
128,1000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,12,12,32,3072,393216,1896,242688,24,9.60091772562341,17.66561072385764,8.06469299823423,0.20032662568213064,0.04087227403740339,0.5471113774972626,0.14116797167100484,2.3192509382585937,"[0.2688310742378235, 0.20737452805042267, 0.21187815070152283, 0.2719500958919525, 0.2916891574859619, 0.3488081395626068, 0.3600520193576813, 0.34841883182525635, 0.31256625056266785, 0.2950507402420044, 0.2758748233318329, 0.2789817750453949, 0.2620363235473633, 0.25314927101135254, 0.27150583267211914, 0.23507383465766907, 0.06072874367237091, 0.04623739793896675, 0.04661523550748825, 0.039527758955955505, 0.03808385506272316, 0.045939795672893524, 0.06394325196743011, 0.08519803732633591, 0.0724535658955574, 0.08191926777362823, 0.05067114531993866, 0.048315294086933136, 0.04581065848469734, 0.057990409433841705, 0.06777936965227127, 0.08931473642587662, 0.07424532622098923, 0.1867889016866684, 0.21593983471393585, 0.20102956891059875, 0.22829194366931915, 0.2344343662261963, 0.17827247083187103, 0.16675204038619995, 0.15629737079143524, 0.184927299618721, 0.143100768327713, 0.13585492968559265, 0.13060452044010162, 0.13994990289211273, 0.12490600347518921, 0.09503214061260223, 0.0674261525273323, 0.04036958888173103, 0.051044341176748276, 0.04405738413333893, 0.04241413250565529, 0.04696958512067795, 0.05619868263602257, 0.0648575946688652, 0.5334028005599976, 0.5669571161270142, 0.5509841442108154, 0.5371099710464478, 0.4802819490432739, 0.3721863031387329, 0.27754878997802734, 0.16977383196353912, 0.1439921259880066, 0.20701317489147186, 0.220067098736763, 0.2633470594882965, 0.3124474585056305, 0.2959010601043701, 0.13500156998634338, 0.10023055970668793, 0.10233378410339355, 0.16631263494491577, 0.1300213783979416, 0.14162610471248627, 0.14146889746189117, 0.1565038561820984, 0.14244882762432098, 0.11748862266540527, 0.14812004566192627, 0.12603099644184113, 0.09406784176826477, 0.08535966277122498, 0.10835816711187363, 0.14232328534126282, 0.18839041888713837, 0.07439451664686203, 0.07877983897924423, 0.08619027584791183, 0.09659356623888016, 0.1238153725862503, 0.09952262043952942, 0.14054709672927856, 0.5358020067214966, 0.5152546763420105, 0.5093756914138794, 0.46501269936561584, 0.49252626299858093, 0.39752286672592163, 0.3409287631511688, 0.31201526522636414, 0.3875460922718048, 0.3968418538570404, 0.1330924779176712, 0.19867253303527832, 0.17287109792232513, 0.10453824698925018, 0.08996282517910004, 0.09018103033304214, 0.09527274966239929, 0.10901562124490738, 0.1089138612151146, 0.180728480219841, 0.09953964501619339, 0.10233943164348602, 0.10073111951351166, 0.11065077781677246, 0.08186151087284088, 0.277991384267807, 0.42397043108940125, 0.36627712845802307, 0.4258684813976288, 0.4970162510871887, 0.5825822353363037, 0.4541407823562622, 0.3394588530063629, 0.24756959080696106]",124,20,0.5444983802735806,27,59
128,1000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,12,12,32,3072,393216,1896,242688,24,9.633756770363338,17.861036759388597,8.227279989025261,0.20043361130394513,0.03982144455083563,0.6126504710203484,0.143379841848642,2.535186037232604,"[0.048887524753808975, 0.052665531635284424, 0.05652837082743645, 0.05900268256664276, 0.05451425537467003, 0.04517188295722008, 0.18959687650203705, 0.12751561403274536, 0.23850663006305695, 0.27873367071151733, 0.2518281638622284, 0.19375985860824585, 0.21475310623645782, 0.23834912478923798, 0.2249295562505722, 0.22878435254096985, 0.2318490743637085, 0.21189624071121216, 0.17566579580307007, 0.17461061477661133, 0.24906256794929504, 0.049058251082897186, 0.0478808730840683, 0.05027256906032562, 0.0664297565817833, 0.04729849472641945, 0.4523695707321167, 0.4682958722114563, 0.4818996787071228, 0.4619821608066559, 0.46073880791664124, 0.43345800042152405, 0.05133046954870224, 0.10454797744750977, 0.11415234953165054, 0.10852421075105667, 0.049028798937797546, 0.03762885183095932, 0.04031212255358696, 0.0416659377515316, 0.17052628099918365, 0.20742203295230865, 0.26738137006759644, 0.33276134729385376, 0.37884753942489624, 0.5348412394523621, 0.1828671395778656, 0.2266101837158203, 0.2620350122451782, 0.16226568818092346, 0.21439160406589508, 0.1281019151210785, 0.061166007071733475, 0.05898868665099144, 0.1054791510105133, 0.05932475998997688, 0.07164706289768219, 0.11368384957313538, 0.06333369761705399, 0.08777350932359695, 0.1322445422410965, 0.11080659180879593, 0.1920347660779953, 0.44016772508621216, 0.4393773078918457, 0.4620281457901001, 0.702481746673584, 0.3124886453151703, 0.07849548012018204, 0.16319699585437775, 0.20546017587184906, 0.20039165019989014, 0.17833420634269714, 0.1554107367992401, 0.0458952933549881, 0.04098806530237198, 0.04584084451198578, 0.03497331589460373, 0.11479006707668304, 0.07640314847230911, 0.052392370998859406, 0.07809664309024811, 0.656273603439331, 0.7111709713935852, 0.18781353533267975, 0.21405963599681854, 0.19852831959724426, 0.155165433883667, 0.0897391214966774, 0.11626017838716507, 0.40738731622695923, 0.45401230454444885, 0.3731050491333008, 0.25965413451194763, 0.34615376591682434, 0.38898763060569763, 0.4912431836128235, 0.3701871633529663, 0.1900796890258789, 0.2002945840358734, 0.2246844619512558, 0.20164288580417633, 0.21776987612247467, 0.14527365565299988, 0.1344558596611023, 0.08360858261585236, 0.0678967759013176, 0.060308121144771576, 0.15465104579925537, 0.26765090227127075, 0.2154335230588913, 0.11891341209411621, 0.24147972464561462, 0.19975556433200836, 0.10526419430971146, 0.22938144207000732, 0.23791754245758057, 0.23888452351093292, 0.27451592683792114, 0.23173977434635162, 0.17699292302131653, 0.25180119276046753, 0.12432227283716202, 0.09492208063602448, 0.15507642924785614, 0.12121187895536423, 0.11533928662538528, 0.1065000370144844]",83,77,0.6761976554989815,28,50
128,10000000,min,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,12,12,32,3072,393216,1896,242688,80,9.493029709103741,25.0210574669174,15.528027757813659,0.17774373302354088,0.0759884047121564,0.4645917997518672,0.08184592727618882,2.3615841156319726,"[0.20223666727542877, 0.3403610587120056, 0.316119521856308, 0.2973981499671936, 0.2165515422821045, 0.14490923285484314, 0.35536298155784607, 0.295581191778183, 0.20104394853115082, 0.1729922741651535, 0.1377221792936325, 0.14066468179225922, 0.12206258624792099, 0.18978391587734222, 0.16841652989387512, 0.16149333119392395, 0.17918764054775238, 0.16515998542308807, 0.1644720435142517, 0.15899616479873657, 0.2787068784236908, 0.3207232356071472, 0.44078949093818665, 0.22817449271678925, 0.2224263846874237, 0.16640621423721313, 0.17156241834163666, 0.16201335191726685, 0.16229897737503052, 0.1446966677904129, 0.13928328454494476, 0.11451402306556702, 0.11065182089805603, 0.29010891914367676, 0.26258569955825806, 0.13007324934005737, 0.16604545712471008, 0.2748671770095825, 0.15165983140468597, 0.10061659663915634, 0.1668880581855774, 0.15860046446323395, 0.13155891001224518, 0.11403990536928177, 0.1433919370174408, 0.15040211379528046, 0.1408464014530182, 0.14875711500644684, 0.1645985096693039, 0.11109697073698044, 0.1047791913151741, 0.173849955201149, 0.21929875016212463, 0.22709298133850098, 0.2884291708469391, 0.13934925198554993, 0.12578663229942322, 0.16626900434494019, 0.1442682296037674, 0.13446347415447235, 0.10308724641799927, 0.09440343081951141, 0.10899936407804489, 0.13009393215179443, 0.11404292285442352, 0.11622687429189682, 0.12962965667247772, 0.13885103166103363, 0.1551458090543747, 0.20440568029880524, 0.2268477827310562, 0.23288588225841522, 0.1935584545135498, 0.20449945330619812, 0.192318394780159, 0.17824679613113403, 0.18358884751796722, 0.18441352248191833, 0.14750255644321442, 0.19107292592525482, 0.16231124103069305, 0.14300182461738586, 0.14294284582138062, 0.16799412667751312, 0.10601687431335449, 0.1743987798690796, 0.24478043615818024, 0.17742855846881866, 0.15333928167819977, 0.15044766664505005, 0.16009950637817383, 0.1383805274963379, 0.15412817895412445, 0.15972395241260529, 0.17524024844169617, 0.16035084426403046, 0.15997205674648285, 0.1328391134738922, 0.09490925073623657, 0.0886445939540863, 0.08845546096563339, 0.11304140090942383, 0.1308421790599823, 0.194449320435524, 0.28911101818084717, 0.37930968403816223, 0.46453049778938293, 0.41197773814201355, 0.608198881149292, 0.11507824063301086, 0.10334646701812744, 0.08859163522720337, 0.09288502484560013, 0.109776571393013, 0.16251228749752045, 0.11544403433799744, 0.13000281155109406, 0.1165764182806015, 0.06640232354402542, 0.06610358506441116, 0.06765725463628769, 0.13237488269805908, 0.1371947079896927, 0.16371576488018036, 0.17617200314998627, 0.14395324885845184, 0.15083298087120056, 0.15764741599559784]",108,119,0.5420952960848808,26,53
128,10000000,max,2,128,96,0.0003,0.1,32000,128,,False,2,True,0.25,12,12,32,3072,393216,1896,242688,80,9.460798547237735,25.70367623582671,16.242877688588976,0.27073039821808853,0.05985721516646916,0.9023716434647765,0.19474321089779276,2.508082567890988,"[0.2605307102203369, 0.5013020634651184, 0.37654998898506165, 0.4953513443470001, 0.4943522810935974, 0.36010053753852844, 0.2932054400444031, 0.3131346106529236, 0.35742467641830444, 0.3850225806236267, 0.4530237913131714, 0.4416218400001526, 0.5067265033721924, 0.49545449018478394, 0.3148590922355652, 0.21582449972629547, 0.2757086753845215, 0.25127312541007996, 0.26450178027153015, 0.2151334136724472, 0.28820544481277466, 0.26774686574935913, 0.2969508767127991, 0.5028012990951538, 0.5210000872612, 0.9784606695175171, 0.9936167001724243, 0.996156632900238, 0.9916369318962097, 0.9255949258804321, 0.9197229146957397, 0.22608576714992523, 0.2938391864299774, 0.37734630703926086, 0.4037703573703766, 0.17858828604221344, 0.1753261834383011, 0.12259691953659058, 0.08197010308504105, 0.08906766772270203, 0.1256396621465683, 0.11685154587030411, 0.0817934200167656, 0.08424443006515503, 0.09410037845373154, 0.1350955367088318, 0.10179087519645691, 0.11421575397253036, 0.141357883810997, 0.18289361894130707, 0.16946956515312195, 0.2083289623260498, 0.2557968199253082, 0.2692343592643738, 0.3398323059082031, 0.09698691964149475, 0.1174965500831604, 0.05945541709661484, 0.05642062425613403, 0.04601701721549034, 0.04792925342917442, 0.0737600177526474, 0.15170902013778687, 0.18232199549674988, 0.18394869565963745, 0.317090779542923, 0.27355876564979553, 0.21782884001731873, 0.08989878743886948, 0.38863879442214966, 0.3201744556427002, 0.19650918245315552, 0.10820674896240234, 0.09930672496557236, 0.12626394629478455, 0.16470269858837128, 0.14586129784584045, 0.10455519706010818, 0.08500156551599503, 0.10485546290874481, 0.1819365918636322, 0.09045366942882538, 0.1622229516506195, 0.12313646078109741, 0.17391648888587952, 0.2763529419898987, 0.4580421447753906, 0.4606092870235443, 0.3550797700881958, 0.2862708866596222, 0.30577605962753296, 0.24519988894462585, 0.1921452283859253, 0.22482050955295563, 0.16275770962238312, 0.15439721941947937, 0.4752855598926544, 0.3423837423324585, 0.6323944330215454, 0.2416374534368515, 0.11523759365081787, 0.10529188066720963, 0.12042771279811859, 0.20790302753448486, 0.20094016194343567, 0.2267518937587738, 0.22720883786678314, 0.282818078994751, 0.4350259602069855, 0.5217055082321167, 0.5242742300033569, 0.10165195167064667, 0.12975093722343445, 0.24857965111732483, 0.3452088534832001, 0.2638531029224396, 0.21688680350780487, 0.22148986160755157, 0.2361041158437729, 0.1964404284954071, 0.1827794909477234, 0.200205996632576, 0.09176291525363922, 0.09380937367677689, 0.23120926320552826, 0.17370082437992096, 0.21120087802410126, 0.1783493161201477]",27,59,0.9501396156847477,26,56
