k,total_params,scheduler,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,max_train_batches,max_eval_batches,compile,num_workers,auto_batch_by_k,active_column_fraction,effective_train_batch_size,effective_eval_batch_size,active_column_count,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,d_model,ensemble_loss,avg_individual_loss,ensemble_gain,member_certainty_mean,member_certainty_min,member_certainty_max,member_certainty_std,prediction_dissimilarity_kl,member_certainty_by_index,most_certain_member_index,least_certain_member_index,member_certainty_range,member_certainty_observed_count_min,member_certainty_observed_count_max
16,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,4,3072,393216,1896,242688,72,12.99450269530091,20.960924353780626,7.966421658479715,0.11092647660193564,0.06878906490776358,0.15194050972408887,0.03301376355679329,0.9150356841804106,"[0.17478838562965393, 0.1363348811864853, 0.12229494005441666, 0.11310387402772903, 0.11754810810089111, 0.07702568173408508, 0.06128423288464546, 0.054663702845573425, 0.06554823368787766, 0.05495421960949898, 0.07058897614479065, 0.12971210479736328, 0.16582326591014862, 0.12658251821994781, 0.133322611451149, 0.12864245474338531]",0,7,0.1201246827840805,30,55
16,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,4,3072,393216,1896,242688,72,13.04684083069427,20.636219592034063,7.589378761339791,0.10569714792544328,0.0757412904802757,0.14640192894995968,0.028035363038011556,0.8530867214821563,"[0.07134078443050385, 0.07373370230197906, 0.07046728581190109, 0.1031755805015564, 0.09620608389377594, 0.10296948999166489, 0.14529329538345337, 0.1474630981683731, 0.16104574501514435, 0.18126258254051208, 0.09286194294691086, 0.10935913771390915, 0.09623994678258896, 0.08304744213819504, 0.09714777022600174, 0.07348504662513733]",9,2,0.11079529672861099,31,49
16,10000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,4,3072,393216,1896,242688,228,13.647183297555658,27.13361573521095,13.486432437655292,0.1636064907040777,0.10802090113770359,0.21882153707969038,0.042519362083388655,0.6643347128565553,"[0.18535853922367096, 0.20133957266807556, 0.2980441749095917, 0.15819041430950165, 0.16095931828022003, 0.13591715693473816, 0.17446555197238922, 0.1629892736673355, 0.2197486013174057, 0.20381785929203033, 0.187224343419075, 0.1022394672036171, 0.07772869616746902, 0.0699329599738121, 0.1448754370212555, 0.1370660662651062]",2,13,0.22811121493577957,29,50
16,10000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,4,3072,393216,1896,242688,228,15.16553411604483,27.06538031372843,11.8998461976836,0.18248448487889918,0.0934896461807097,0.3212124958540065,0.08949984390807303,0.7961406322031082,"[0.20333072543144226, 0.2073410302400589, 0.24697861075401306, 0.2654348313808441, 0.16492614150047302, 0.12367412447929382, 0.0949987843632698, 0.1820288449525833, 0.5980172157287598, 0.19428662955760956, 0.08688611537218094, 0.06873651593923569, 0.11316755414009094, 0.11635452508926392, 0.10476915538311005, 0.16574837267398834]",8,11,0.5292806997895241,29,48
64,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,16,3072,393216,1896,242688,36,10.282847247546233,19.42179787309864,9.138950625552408,0.18135439500778536,0.06308477254042143,0.3995636845879917,0.09391104545491406,2.011086222491687,"[0.3119243085384369, 0.3726630210876465, 0.5023709535598755, 0.10885148495435715, 0.07660561800003052, 0.0952124372124672, 0.2732897996902466, 0.4411308169364929, 0.16489732265472412, 0.17683757841587067, 0.15346074104309082, 0.1539648026227951, 0.19452844560146332, 0.14409153163433075, 0.09485819935798645, 0.0704682245850563, 0.08099023252725601, 0.04520811885595322, 0.072071373462677, 0.0621037483215332, 0.05858797952532768, 0.06588022410869598, 0.10099706053733826, 0.09103793650865555, 0.10012222081422806, 0.11438751965761185, 0.11637313663959503, 0.28414297103881836, 0.31595146656036377, 0.24567845463752747, 0.2912059426307678, 0.2673310339450836, 0.190702423453331, 0.12767097353935242, 0.06149546802043915, 0.08267252892255783, 0.11509622633457184, 0.13030773401260376, 0.18102505803108215, 0.22187303006649017, 0.18689687550067902, 0.16726794838905334, 0.19092988967895508, 0.1794251948595047, 0.14784711599349976, 0.1361347883939743, 0.11917664855718613, 0.15888123214244843, 0.20771853625774384, 0.1900710016489029, 0.18582876026630402, 0.17664247751235962, 0.3784943222999573, 0.23621059954166412, 0.09395363926887512, 0.0937184989452362, 0.11665979772806168, 0.08455954492092133, 0.3125583529472351, 0.2487812042236328, 0.2182341367006302, 0.23935243487358093, 0.2593294382095337, 0.31827566027641296]",2,17,0.45716283470392227,29,50
64,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,16,3072,393216,1896,242688,36,10.22928751571269,19.3398085123376,9.11052099662491,0.17657263661864436,0.05770772865301446,0.41914580139932756,0.09688941563797902,1.9774902772299852,"[0.08812209218740463, 0.12042230367660522, 0.20595166087150574, 0.18988831341266632, 0.2406427562236786, 0.2593424916267395, 0.2809934616088867, 0.06909971684217453, 0.06396716833114624, 0.0873153954744339, 0.14495447278022766, 0.20219455659389496, 0.1650015115737915, 0.1645648330450058, 0.23398123681545258, 0.19436170160770416, 0.19386090338230133, 0.11479287594556808, 0.10860058665275574, 0.07419945299625397, 0.09397061914205551, 0.11985834687948227, 0.10668505728244781, 0.10526922345161438, 0.08208125084638596, 0.08843166381120682, 0.07476168870925903, 0.06722839176654816, 0.04950295761227608, 0.058205705136060715, 0.26563340425491333, 0.34748575091362, 0.18974247574806213, 0.14952480792999268, 0.10967092961072922, 0.09935642778873444, 0.13143454492092133, 0.07277796417474747, 0.18618197739124298, 0.16696609556674957, 0.22908686101436615, 0.2538568079471588, 0.2890011966228485, 0.2722761332988739, 0.25477656722068787, 0.2134084552526474, 0.27757754921913147, 0.551288366317749, 0.5852821469306946, 0.2313135713338852, 0.24994942545890808, 0.2074143886566162, 0.18864838778972626, 0.2172868698835373, 0.19881747663021088, 0.2941880226135254, 0.24743527173995972, 0.22670161724090576, 0.17040163278579712, 0.10356828570365906, 0.10491254925727844, 0.044541627168655396, 0.09483861178159714, 0.12009672820568085]",48,61,0.5407405197620392,30,51
64,10000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,16,3072,393216,1896,242688,114,10.12676927107799,26.43282774430287,16.30605847322488,0.16308313381822803,0.05321009699962562,0.3867697090476374,0.08884693632680404,1.7509240327002127,"[0.17052091658115387, 0.06968076527118683, 0.05588250979781151, 0.062331005930900574, 0.05990621820092201, 0.049979470670223236, 0.04746798425912857, 0.05007169023156166, 0.06952451914548874, 0.08603984117507935, 0.15909437835216522, 0.14864470064640045, 0.1557479202747345, 0.1645335853099823, 0.197156623005867, 0.19022680819034576, 0.23656071722507477, 0.2336481511592865, 0.1510271281003952, 0.12888029217720032, 0.12153158336877823, 0.1449013203382492, 0.12163636088371277, 0.08431100845336914, 0.08402276784181595, 0.10098765045404434, 0.08010929077863693, 0.0847993716597557, 0.09176561236381531, 0.06998831778764725, 0.04767134040594101, 0.14555589854717255, 0.12781623005867004, 0.12924663722515106, 0.13265308737754822, 0.13819971680641174, 0.12902480363845825, 0.14033566415309906, 0.16229583323001862, 0.1527702361345291, 0.1527319699525833, 0.18118111789226532, 0.14526502788066864, 0.2007526308298111, 0.29077214002609253, 0.295953631401062, 0.23396028578281403, 0.2420913428068161, 0.21876123547554016, 0.17533472180366516, 0.1431605964899063, 0.10455268621444702, 0.14991718530654907, 0.26061123609542847, 0.5625102519989014, 0.35910192131996155, 0.3755684792995453, 0.32587480545043945, 0.34947919845581055, 0.33668994903564453, 0.24442392587661743, 0.1537761688232422, 0.1295972466468811, 0.11295648664236069]",54,6,0.5150422677397728,26,55
64,10000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,16,3072,393216,1896,242688,114,10.377061198029336,27.338874080513097,16.96181288248376,0.21950197521644302,0.07653032097069523,0.5985340200647523,0.14073302742989757,1.9423853098591672,"[0.0995045155286789, 0.08781319856643677, 0.0883011519908905, 0.2852475643157959, 0.26249992847442627, 0.25405171513557434, 0.3946508467197418, 0.1533534973859787, 0.16753868758678436, 0.2625926733016968, 0.13844694197177887, 0.18065066635608673, 0.16483470797538757, 0.27730610966682434, 0.12118539959192276, 0.14906394481658936, 0.07866916805505753, 0.07008431851863861, 0.06950673460960388, 0.06798529624938965, 0.6188369393348694, 0.48147809505462646, 0.4217935800552368, 0.4997587502002716, 0.40418028831481934, 0.2542244493961334, 0.32237836718559265, 0.22562284767627716, 0.17335475981235504, 0.2860688269138336, 0.2860114574432373, 0.5008842945098877, 0.7963559627532959, 0.6247972846031189, 0.19085368514060974, 0.12490501254796982, 0.13497036695480347, 0.09444944560527802, 0.12878359854221344, 0.1979185789823532, 0.15996773540973663, 0.2103932499885559, 0.1762295365333557, 0.16507035493850708, 0.24220198392868042, 0.2680879533290863, 0.3009742200374603, 0.18770068883895874, 0.09232345968484879, 0.09129267930984497, 0.09088821709156036, 0.10207679867744446, 0.09153382480144501, 0.09357120841741562, 0.10294871777296066, 0.1842009425163269, 0.18949176371097565, 0.12895174324512482, 0.15010610222816467, 0.19308823347091675, 0.19839464128017426, 0.11210638284683228, 0.09804770350456238, 0.10189405828714371]",32,19,0.7283706665039062,26,50
128,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,32,3072,393216,1896,242688,24,9.467300644403771,17.517692662492582,8.05039201808881,0.22218267544160916,0.0632949668112435,0.5816891455574881,0.12118330833655369,2.3298329778864413,"[0.17359530925750732, 0.15334489941596985, 0.15182621777057648, 0.11032795161008835, 0.11278755962848663, 0.10722369700670242, 0.17779946327209473, 0.22129939496517181, 0.21691535413265228, 0.23389576375484467, 0.1989940106868744, 0.2242913395166397, 0.2041446566581726, 0.15201742947101593, 0.1274716556072235, 0.132512629032135, 0.09498081356287003, 0.06361189484596252, 0.048620790243148804, 0.09729355573654175, 0.27825334668159485, 0.4654017686843872, 0.48129576444625854, 0.37162524461746216, 0.37157654762268066, 0.3411214351654053, 0.36440783739089966, 0.39579883217811584, 0.133725106716156, 0.1322169452905655, 0.10195816308259964, 0.0772605836391449, 0.09098973125219345, 0.18644359707832336, 0.6772254705429077, 0.6474289894104004, 0.48583635687828064, 0.5746128559112549, 0.5379297137260437, 0.13497014343738556, 0.13831277191638947, 0.09619608521461487, 0.16877032816410065, 0.3057749569416046, 0.17687830328941345, 0.2410915195941925, 0.26480910181999207, 0.3663887679576874, 0.30783942341804504, 0.2056404948234558, 0.23773865401744843, 0.28438329696655273, 0.3176567852497101, 0.23090524971485138, 0.07479330152273178, 0.07153460383415222, 0.07369481027126312, 0.09739258885383606, 0.07266611605882645, 0.06233077868819237, 0.14772118628025055, 0.2663131654262543, 0.3981872498989105, 0.34781360626220703, 0.3139403164386749, 0.2089042067527771, 0.1170850321650505, 0.13329850137233734, 0.15333767235279083, 0.145101398229599, 0.18146170675754547, 0.15217474102973938, 0.18883565068244934, 0.07917269319295883, 0.1081315353512764, 0.12053586542606354, 0.1284167766571045, 0.14150388538837433, 0.1288899928331375, 0.10212454199790955, 0.10197839885950089, 0.12095992267131805, 0.08630183339118958, 0.08321627229452133, 0.1124119907617569, 0.20184966921806335, 0.20563887059688568, 0.2293272763490677, 0.2546176016330719, 0.25828245282173157, 0.22823405265808105, 0.28151336312294006, 0.18120023608207703, 0.2373928725719452, 0.2270224690437317, 0.1302742213010788, 0.2421923577785492, 0.1138007864356041, 0.12188446521759033, 0.10267873108386993, 0.11142397671937943, 0.14401875436306, 0.25838711857795715, 0.26909348368644714, 0.3036731779575348, 0.29299405217170715, 0.21861334145069122, 0.11001995950937271, 0.308173805475235, 0.34006065130233765, 0.34243133664131165, 0.3373497426509857, 0.36496222019195557, 0.3642726242542267, 0.34222233295440674, 0.36283302307128906, 0.3826618194580078, 0.3780882954597473, 0.3320677876472473, 0.2716994285583496, 0.2631661593914032, 0.26407045125961304, 0.2434707134962082, 0.20530550181865692, 0.22378717362880707, 0.1984420269727707, 0.21533189713954926, 0.223849818110466]",34,18,0.6286046802997589,28,51
128,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,32,3072,393216,1896,242688,24,9.540576295007634,17.75414628620389,8.213569991196259,0.20943506665622133,0.043831034575270704,0.5369002385230004,0.13285218495168263,2.516618346866173,"[0.036105677485466, 0.16768281161785126, 0.21059036254882812, 0.11407686769962311, 0.1908670961856842, 0.11446959525346756, 0.12506748735904694, 0.13633129000663757, 0.12287106364965439, 0.22879177331924438, 0.44433924555778503, 0.5808096528053284, 0.29849642515182495, 0.4626546800136566, 0.45352351665496826, 0.5201161503791809, 0.45645710825920105, 0.22767484188079834, 0.311849445104599, 0.5260584354400635, 0.544347882270813, 0.5045034289360046, 0.3610007166862488, 0.28145280480384827, 0.07064393907785416, 0.09218328446149826, 0.3809683918952942, 0.1287108212709427, 0.136765718460083, 0.5401908159255981, 0.15912406146526337, 0.1149945855140686, 0.29990917444229126, 0.27352744340896606, 0.3979547917842865, 0.08353997021913528, 0.18227024376392365, 0.13059163093566895, 0.15331189334392548, 0.15555939078330994, 0.10097838193178177, 0.14892858266830444, 0.17892388999462128, 0.2048753798007965, 0.17420408129692078, 0.2542755603790283, 0.16786135733127594, 0.1282380372285843, 0.18923236429691315, 0.16656364500522614, 0.12249932438135147, 0.26484739780426025, 0.25467395782470703, 0.18610484898090363, 0.10524578392505646, 0.05430854484438896, 0.04798927903175354, 0.054507918655872345, 0.21500256657600403, 0.1243208795785904, 0.14117227494716644, 0.10505849868059158, 0.09858369082212448, 0.1862156242132187, 0.27122488617897034, 0.2263220250606537, 0.3011164665222168, 0.33026471734046936, 0.29719746112823486, 0.07156731933355331, 0.06947744637727737, 0.26024937629699707, 0.4513803720474243, 0.45078596472740173, 0.3306787312030792, 0.3521510362625122, 0.08982612937688828, 0.1329057812690735, 0.09302469342947006, 0.0721651241183281, 0.1009388417005539, 0.25258976221084595, 0.1523224413394928, 0.19582289457321167, 0.17104670405387878, 0.2167430967092514, 0.23185542225837708, 0.07205814868211746, 0.05057711899280548, 0.04665372148156166, 0.03984209522604942, 0.11735396087169647, 0.1842011958360672, 0.24556460976600647, 0.05474378168582916, 0.06947848945856094, 0.06767041236162186, 0.04978225380182266, 0.08919670432806015, 0.11441032588481903, 0.10222010314464569, 0.10524660348892212, 0.0962194874882698, 0.30036863684654236, 0.3635721504688263, 0.350247859954834, 0.30758970975875854, 0.36440542340278625, 0.3484508693218231, 0.3846125602722168, 0.1608145534992218, 0.24255001544952393, 0.34018030762672424, 0.3289778232574463, 0.35677793622016907, 0.33869072794914246, 0.04120185598731041, 0.06831273436546326, 0.3419036865234375, 0.22523106634616852, 0.11813049763441086, 0.0948072150349617, 0.17546842992305756, 0.04933419078588486, 0.05721846595406532, 0.06977728754281998, 0.06785683333873749, 0.0646677240729332]",11,0,0.5447039753198624,27,52
128,10000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,32,3072,393216,1896,242688,80,9.48326512831676,25.12627741656726,15.643012288250501,0.20494576939676382,0.060657085002034525,0.5100486482246013,0.11610770258533804,2.2994430849823773,"[0.16825713217258453, 0.16934162378311157, 0.1959025114774704, 0.18803498148918152, 0.15839962661266327, 0.1773844063282013, 0.2297748327255249, 0.21864226460456848, 0.19615866243839264, 0.1933533400297165, 0.19927069544792175, 0.35092684626579285, 0.1498134434223175, 0.11140275746583939, 0.15438148379325867, 0.5959545969963074, 0.3176189959049225, 0.20949073135852814, 0.20224571228027344, 0.24397391080856323, 0.2405788153409958, 0.25259602069854736, 0.2348545342683792, 0.19080592691898346, 0.18676571547985077, 0.2164507657289505, 0.23629429936408997, 0.20926280319690704, 0.2041190266609192, 0.21010419726371765, 0.1875312179327011, 0.17890791594982147, 0.20199942588806152, 0.21584899723529816, 0.06143999844789505, 0.05687454342842102, 0.05612406134605408, 0.06437534093856812, 0.07132422178983688, 0.0950801819562912, 0.10503727942705154, 0.08611378818750381, 0.08944053202867508, 0.09381553530693054, 0.08497639745473862, 0.06264415383338928, 0.06942006945610046, 0.07062985002994537, 0.08133414387702942, 0.09586393088102341, 0.09046835452318192, 0.10233035683631897, 0.07475237548351288, 0.39656370878219604, 0.4125444293022156, 0.46017226576805115, 0.5234375596046448, 0.32078465819358826, 0.23130615055561066, 0.21014106273651123, 0.15377730131149292, 0.14601370692253113, 0.1763722449541092, 0.3696780502796173, 0.3516175150871277, 0.33194297552108765, 0.4890046715736389, 0.48992323875427246, 0.3535061478614807, 0.38080865144729614, 0.3492814004421234, 0.4274861812591553, 0.4236038029193878, 0.17147721350193024, 0.08817040175199509, 0.08924520015716553, 0.08373019844293594, 0.07666125893592834, 0.07345395535230637, 0.06446094810962677, 0.19368165731430054, 0.12519770860671997, 0.15920960903167725, 0.1978859007358551, 0.11286790668964386, 0.1329973042011261, 0.08802048116922379, 0.0838322713971138, 0.0787474736571312, 0.07135328650474548, 0.07084092497825623, 0.07461085915565491, 0.0776175856590271, 0.09543345123529434, 0.11564182490110397, 0.3533497452735901, 0.24753205478191376, 0.2881062924861908, 0.30811479687690735, 0.2685811221599579, 0.39761438965797424, 0.35920724272727966, 0.41579800844192505, 0.4913479685783386, 0.2118062973022461, 0.23112988471984863, 0.21799540519714355, 0.24122434854507446, 0.2769920229911804, 0.2545103430747986, 0.21881011128425598, 0.2576808035373688, 0.21439248323440552, 0.19890283048152924, 0.17844074964523315, 0.1695171743631363, 0.15872763097286224, 0.179188072681427, 0.1582058221101761, 0.15027062594890594, 0.11937262117862701, 0.13358595967292786, 0.2007600963115692, 0.18402762711048126, 0.23094542324543, 0.2387751340866089, 0.1873106062412262, 0.12260621041059494]",15,36,0.5398305356502533,25,53
128,10000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,0.25,12,12,32,3072,393216,1896,242688,80,9.369933858702455,25.28670585004589,15.916771991343438,0.2184171319196496,0.04468935690348661,0.6165074681556677,0.14009202804557885,2.471613997145544,"[0.38969430327415466, 0.49729105830192566, 0.44218719005584717, 0.3871142864227295, 0.33132365345954895, 0.4302685558795929, 0.5776470899581909, 0.8286123871803284, 0.7327008247375488, 0.2076980471611023, 0.26238885521888733, 0.28392279148101807, 0.31022754311561584, 0.29568639397621155, 0.3412182629108429, 0.36528900265693665, 0.39173948764801025, 0.29692766070365906, 0.2747144103050232, 0.2202194333076477, 0.22256407141685486, 0.2396695762872696, 0.27577483654022217, 0.1129712462425232, 0.11044749617576599, 0.0860714390873909, 0.08300449699163437, 0.12787851691246033, 0.1317998766899109, 0.12911228835582733, 0.0991751179099083, 0.09180782735347748, 0.09870567172765732, 0.11049623042345047, 0.10340969264507294, 0.08151733875274658, 0.09747778624296188, 0.0909060537815094, 0.2535613775253296, 0.16667844355106354, 0.205500528216362, 0.1774018108844757, 0.14515642821788788, 0.17263904213905334, 0.5930212140083313, 0.5467615723609924, 0.5113229751586914, 0.33136796951293945, 0.2512100040912628, 0.2292999029159546, 0.27626609802246094, 0.2547404170036316, 0.28690770268440247, 0.1480170041322708, 0.1328100562095642, 0.13485762476921082, 0.13627420365810394, 0.17825859785079956, 0.2103879600763321, 0.17323079705238342, 0.20116740465164185, 0.34012311697006226, 0.39449119567871094, 0.19895021617412567, 0.2106354534626007, 0.1964140683412552, 0.20266656577587128, 0.198541060090065, 0.2024310827255249, 0.20553739368915558, 0.21293114125728607, 0.3138517439365387, 0.18142077326774597, 0.31039533019065857, 0.2756817042827606, 0.2607436180114746, 0.17446815967559814, 0.07181615382432938, 0.06135111302137375, 0.04511396586894989, 0.037803348153829575, 0.06637522578239441, 0.05767697095870972, 0.31681111454963684, 0.3449935019016266, 0.38137033581733704, 0.33311471343040466, 0.38490280508995056, 0.4032860994338989, 0.301756352186203, 0.19280968606472015, 0.055540043860673904, 0.06283918023109436, 0.06334734708070755, 0.05550958961248398, 0.0593230202794075, 0.06803223490715027, 0.07853321731090546, 0.10118311643600464, 0.08746082335710526, 0.07204926013946533, 0.07563292980194092, 0.07990245521068573, 0.07898898422718048, 0.07864148169755936, 0.0724979117512703, 0.19771496951580048, 0.20045945048332214, 0.20372754335403442, 0.1032407358288765, 0.09971000254154205, 0.22408699989318848, 0.34826865792274475, 0.44111305475234985, 0.5368441343307495, 0.38410109281539917, 0.11189229041337967, 0.12364567816257477, 0.15577608346939087, 0.14928564429283142, 0.05137619376182556, 0.06641824543476105, 0.05465010181069374, 0.03939824178814888, 0.040969837456941605, 0.27123427391052246, 0.31917306780815125, 0.3685746192932129]",7,80,0.7908090390264988,26,54
