k,total_params,scheduler,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,max_train_batches,max_eval_batches,compile,num_workers,auto_batch_by_k,active_column_fraction,grad_accum_steps,effective_train_batch_size,micro_train_batch_size,effective_eval_batch_size,active_column_count,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,d_model,ensemble_loss,avg_individual_loss,ensemble_gain,member_certainty_mean,member_certainty_min,member_certainty_max,member_certainty_std,prediction_dissimilarity_kl,member_certainty_by_index,most_certain_member_index,least_certain_member_index,member_certainty_range,member_certainty_observed_count_min,member_certainty_observed_count_max
16,1000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,16,24,3072,1,128,72,27.82902717590332,34.804481506347656,6.975454330444336,0.6730179786682129,0.6284289360046387,0.7077174186706543,0.02273106947541237,1.7006398439407349,"[0.6376941204071045, 0.6601805686950684, 0.6528786420822144, 0.7003834843635559, 0.6707549691200256, 0.6904603242874146, 0.7077174186706543, 0.6542727947235107, 0.6877656579017639, 0.6284289360046387, 0.6675664186477661, 0.6829759478569031, 0.696038544178009, 0.6801373362541199, 0.6542122960090637, 0.6968203783035278]",6,9,0.07928848266601562,1,1
16,1000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,16,24,3072,1,128,72,27.10112762451172,35.58641815185547,8.48529052734375,0.6578704118728638,0.627888023853302,0.7074841260910034,0.020866945385932922,2.218047857284546,"[0.6496074199676514, 0.7074841260910034, 0.6529002785682678, 0.627888023853302, 0.6292998194694519, 0.6703920364379883, 0.6541088819503784, 0.683010458946228, 0.641658365726471, 0.6717751026153564, 0.6404743194580078, 0.6809988021850586, 0.6522572636604309, 0.6482555866241455, 0.6424723863601685, 0.6733434200286865]",1,3,0.07959610223770142,1,1
16,10000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,16,24,3072,1,128,228,40.50163269042969,56.01648712158203,15.514854431152344,0.8078529834747314,0.7544918656349182,0.8884773254394531,0.03247234225273132,1.7250114679336548,"[0.8258932828903198, 0.827089786529541, 0.8133791089057922, 0.8173574805259705, 0.8112828135490417, 0.8012575507164001, 0.8440096378326416, 0.7674886584281921, 0.7863112688064575, 0.7659481763839722, 0.7544918656349182, 0.8165063858032227, 0.7907679080963135, 0.7839401364326477, 0.831446647644043, 0.8884773254394531]",15,10,0.1339854598045349,1,1
16,10000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,16,24,3072,1,128,228,39.86328125,57.93775939941406,18.074478149414062,0.8172405958175659,0.7387230396270752,0.8645345568656921,0.036703165620565414,1.8602359294891357,"[0.8003822565078735, 0.7586025595664978, 0.7387230396270752, 0.7963106036186218, 0.7703934907913208, 0.8292214870452881, 0.8351048827171326, 0.8323101997375488, 0.8565956950187683, 0.8609000444412231, 0.8645345568656921, 0.8379502296447754, 0.8621020317077637, 0.8046234846115112, 0.8101018071174622, 0.8179931640625]",10,2,0.12581151723861694,1,1
64,1000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,64,24,3072,1,128,36,17.22159194946289,24.78427505493164,7.56268310546875,0.5100225210189819,0.3839315176010132,0.6657764911651611,0.05626539885997772,3.145880937576294,"[0.5843731164932251, 0.493452250957489, 0.5376976728439331, 0.5412070751190186, 0.5679207444190979, 0.4892542362213135, 0.536521315574646, 0.4981059432029724, 0.608697772026062, 0.5209999680519104, 0.46885061264038086, 0.44827979803085327, 0.5625278353691101, 0.43677446246147156, 0.5397172570228577, 0.5562039017677307, 0.4850844740867615, 0.4464457035064697, 0.4805581569671631, 0.49538853764533997, 0.5453298091888428, 0.5661708116531372, 0.4797840714454651, 0.5668230056762695, 0.5603197813034058, 0.43231523036956787, 0.47463181614875793, 0.48082178831100464, 0.4953438639640808, 0.49157196283340454, 0.5364407896995544, 0.5201106071472168, 0.44299936294555664, 0.4731798768043518, 0.5730142593383789, 0.4953038990497589, 0.538681149482727, 0.4751128852367401, 0.5780805349349976, 0.5953278541564941, 0.5685673952102661, 0.5753052830696106, 0.49887365102767944, 0.5649963617324829, 0.5172149538993835, 0.5174665451049805, 0.43339383602142334, 0.3839315176010132, 0.39985889196395874, 0.4520609974861145, 0.49221277236938477, 0.4257391095161438, 0.4853740632534027, 0.47622281312942505, 0.6546574234962463, 0.4527791142463684, 0.46639567613601685, 0.4899354577064514, 0.447670578956604, 0.5468002557754517, 0.5001280307769775, 0.5093538761138916, 0.49730169773101807, 0.6657764911651611]",63,47,0.28184497356414795,1,1
64,1000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,64,24,3072,1,128,36,16.69831657409668,25.284385681152344,8.586069107055664,0.4872450828552246,0.37522974610328674,0.6134215593338013,0.045097336173057556,3.546599864959717,"[0.4532468318939209, 0.48489469289779663, 0.4594593346118927, 0.452489972114563, 0.48051971197128296, 0.530204176902771, 0.5164598226547241, 0.45744964480400085, 0.45593929290771484, 0.47419053316116333, 0.5014688372612, 0.47732508182525635, 0.5832310914993286, 0.44715070724487305, 0.49555426836013794, 0.46464502811431885, 0.5156461000442505, 0.5012726187705994, 0.45738649368286133, 0.5407389402389526, 0.41731056571006775, 0.5090323090553284, 0.47662097215652466, 0.4685981571674347, 0.5314090251922607, 0.6134215593338013, 0.4963429570198059, 0.43579089641571045, 0.4626120924949646, 0.37522974610328674, 0.4054402709007263, 0.4609276354312897, 0.4996568262577057, 0.4785560667514801, 0.5283495187759399, 0.4942978024482727, 0.4377848505973816, 0.5144779682159424, 0.4294685423374176, 0.40609991550445557, 0.4961699843406677, 0.47114190459251404, 0.46551263332366943, 0.48822808265686035, 0.4903503656387329, 0.5374369621276855, 0.5190683007240295, 0.5048314929008484, 0.444256067276001, 0.46092838048934937, 0.6039569973945618, 0.4815463125705719, 0.5116711258888245, 0.48902636766433716, 0.4551476240158081, 0.4566912353038788, 0.4872291684150696, 0.6058313250541687, 0.5129361748695374, 0.47546929121017456, 0.4725441336631775, 0.5503328442573547, 0.5225515365600586, 0.4901250898838043]",25,29,0.23819181323051453,1,1
64,10000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,64,24,3072,1,128,114,22.960357666015625,42.73295593261719,19.772598266601562,0.7718923687934875,0.6168848276138306,0.9885792136192322,0.10085740685462952,3.0303890705108643,"[0.8341739773750305, 0.7956386804580688, 0.9709265828132629, 0.6531063914299011, 0.8491314649581909, 0.7526987791061401, 0.832089900970459, 0.7455196976661682, 0.7059176564216614, 0.7643582820892334, 0.727190375328064, 0.7540267109870911, 0.6938167810440063, 0.7075750827789307, 0.7543238401412964, 0.7651524543762207, 0.803674042224884, 0.87845379114151, 0.7687974572181702, 0.9154115915298462, 0.8874589204788208, 0.9646528363227844, 0.9751543998718262, 0.9885792136192322, 0.9821619987487793, 0.9208891987800598, 0.8853062391281128, 0.6751118302345276, 0.777085542678833, 0.7058472633361816, 0.7463762164115906, 0.7115528583526611, 0.6948293447494507, 0.7261557579040527, 0.7989614605903625, 0.921803891658783, 0.9720473289489746, 0.9469196796417236, 0.9268744587898254, 0.7536174058914185, 0.7447359561920166, 0.7080709934234619, 0.7628225088119507, 0.7438869476318359, 0.6530423760414124, 0.7348279356956482, 0.6580864787101746, 0.680311381816864, 0.6461127996444702, 0.6560593247413635, 0.7616527080535889, 0.6994179487228394, 0.6803833246231079, 0.6168848276138306, 0.73763108253479, 0.6819730401039124, 0.6602874994277954, 0.6488260626792908, 0.6889444589614868, 0.7390835285186768, 0.6804603934288025, 0.7023826837539673, 0.7343699932098389, 0.7474868893623352]",23,53,0.3716943860054016,1,1
64,10000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,64,24,3072,1,128,114,21.899147033691406,44.93022537231445,23.031078338623047,0.7744108438491821,0.6505759954452515,0.9996402263641357,0.10582071542739868,3.535601854324341,"[0.8209473490715027, 0.767642080783844, 0.7636153101921082, 0.9996402263641357, 0.9862634539604187, 0.9502280950546265, 0.7289100885391235, 0.6625763177871704, 0.6927725076675415, 0.663684606552124, 0.6550958752632141, 0.7603504657745361, 0.6997678279876709, 0.7107663750648499, 0.7933180332183838, 0.7127689719200134, 0.9067738056182861, 0.9627058506011963, 0.7072749137878418, 0.6750948429107666, 0.7094625234603882, 0.7246930599212646, 0.7365216016769409, 0.6890149116516113, 0.7069629430770874, 0.6518046259880066, 0.7045423984527588, 0.6631559133529663, 0.7173742055892944, 0.6505759954452515, 0.6705008745193481, 0.725999116897583, 0.7757114171981812, 0.7378254532814026, 0.6866325736045837, 0.7042709589004517, 0.9513041973114014, 0.7961454391479492, 0.7196359038352966, 0.7856007814407349, 0.9841374158859253, 0.9631575345993042, 0.9920766353607178, 0.9432879090309143, 0.6774026155471802, 0.6835061311721802, 0.6903098225593567, 0.7143796682357788, 0.7387470602989197, 0.7807967662811279, 0.663813591003418, 0.7233774065971375, 0.7256914377212524, 0.6795041561126709, 0.8009593486785889, 0.8028594255447388, 0.7634629607200623, 0.7596437335014343, 0.830649197101593, 0.9542616605758667, 0.9894973039627075, 0.8526953458786011, 0.9311485290527344, 0.7889978885650635]",3,29,0.3490642309188843,1,1
128,1000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,128,24,3072,1,128,24,13.792577743530273,21.184947967529297,7.392370223999023,0.37505918741226196,0.24095545709133148,0.5435887575149536,0.05745885893702507,3.4350240230560303,"[0.34169578552246094, 0.36850613355636597, 0.4740852415561676, 0.32941365242004395, 0.3253667652606964, 0.24095545709133148, 0.4156193137168884, 0.40004962682724, 0.3301353454589844, 0.3478042185306549, 0.3174898624420166, 0.3415089249610901, 0.4251044988632202, 0.3772530257701874, 0.3878862261772156, 0.43358927965164185, 0.4146650731563568, 0.3828587532043457, 0.33747154474258423, 0.27967262268066406, 0.33559268712997437, 0.45069077610969543, 0.48015153408050537, 0.34086641669273376, 0.4565278887748718, 0.4133480489253998, 0.3748326599597931, 0.32040297985076904, 0.4229254424571991, 0.36249011754989624, 0.3598214387893677, 0.3925029933452606, 0.3082754611968994, 0.41442203521728516, 0.3780221939086914, 0.4329075515270233, 0.40090882778167725, 0.41577279567718506, 0.4035458564758301, 0.35430026054382324, 0.30939996242523193, 0.27922719717025757, 0.3820127546787262, 0.391843318939209, 0.4291515052318573, 0.43132728338241577, 0.4258692264556885, 0.3747527003288269, 0.387959361076355, 0.4106890559196472, 0.3228943645954132, 0.3075515925884247, 0.44620510935783386, 0.4021035432815552, 0.3641566038131714, 0.3247792720794678, 0.3671645224094391, 0.3522355854511261, 0.4241392910480499, 0.3604835271835327, 0.4097578525543213, 0.29872316122055054, 0.3833964169025421, 0.35124629735946655, 0.2977840006351471, 0.4466628432273865, 0.3995935618877411, 0.40637972950935364, 0.4565585255622864, 0.29454857110977173, 0.3323396146297455, 0.4881255030632019, 0.5401484370231628, 0.4683845639228821, 0.3153040409088135, 0.36152130365371704, 0.3564581871032715, 0.372173547744751, 0.4424956738948822, 0.38172996044158936, 0.36172544956207275, 0.3551867604255676, 0.32908010482788086, 0.3646051287651062, 0.38389310240745544, 0.29697349667549133, 0.41184306144714355, 0.3045787215232849, 0.3115490674972534, 0.35098516941070557, 0.250508576631546, 0.42203083634376526, 0.3947993516921997, 0.3347787857055664, 0.26274996995925903, 0.38018998503685, 0.32336997985839844, 0.5430269837379456, 0.5435887575149536, 0.34297770261764526, 0.40776458382606506, 0.37658390402793884, 0.3134464919567108, 0.2573382258415222, 0.3131302297115326, 0.39568156003952026, 0.4268547296524048, 0.3208997845649719, 0.3492364287376404, 0.3421010971069336, 0.3280300498008728, 0.35626041889190674, 0.39046671986579895, 0.34471023082733154, 0.3522539734840393, 0.3665752708911896, 0.40819019079208374, 0.3537381887435913, 0.3838334083557129, 0.3446839451789856, 0.3678271770477295, 0.37109658122062683, 0.353141188621521, 0.45290935039520264, 0.5171293616294861, 0.42531657218933105, 0.3676486611366272, 0.36556822061538696]",98,5,0.30263330042362213,1,1
128,1000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,128,24,3072,1,128,24,14.15451717376709,21.090625762939453,6.936108589172363,0.37068575620651245,0.20394517481327057,0.6156318187713623,0.06511920690536499,3.8462631702423096,"[0.33061957359313965, 0.3075714707374573, 0.36063700914382935, 0.4853421449661255, 0.38279980421066284, 0.33845818042755127, 0.32736149430274963, 0.522020161151886, 0.4881898760795593, 0.36430788040161133, 0.2983497381210327, 0.401065468788147, 0.4431000351905823, 0.25552886724472046, 0.32783767580986023, 0.28981125354766846, 0.358433336019516, 0.4592120945453644, 0.3956165909767151, 0.3661584258079529, 0.39067232608795166, 0.329525351524353, 0.35996681451797485, 0.29224061965942383, 0.38924768567085266, 0.37871044874191284, 0.3640235662460327, 0.3986107110977173, 0.5378923416137695, 0.34786343574523926, 0.4779701232910156, 0.3679651916027069, 0.43767648935317993, 0.41677194833755493, 0.5236226320266724, 0.27374371886253357, 0.20394517481327057, 0.3868282437324524, 0.3552860915660858, 0.3452037572860718, 0.39006543159484863, 0.2966606020927429, 0.3700553774833679, 0.31246232986450195, 0.31191587448120117, 0.31040114164352417, 0.35853657126426697, 0.3758615255355835, 0.3672304153442383, 0.4036938548088074, 0.37126731872558594, 0.4267421066761017, 0.32074373960494995, 0.34600067138671875, 0.3894895315170288, 0.3878334164619446, 0.38492244482040405, 0.3514513373374939, 0.3526079058647156, 0.37180495262145996, 0.4035435616970062, 0.4238787293434143, 0.3153845965862274, 0.36011093854904175, 0.33705705404281616, 0.3890475630760193, 0.44184601306915283, 0.4708017110824585, 0.34483757615089417, 0.3404353857040405, 0.39091217517852783, 0.3029640316963196, 0.34702837467193604, 0.3807893693447113, 0.30330511927604675, 0.5589650869369507, 0.4280756711959839, 0.3338470458984375, 0.38477039337158203, 0.44722118973731995, 0.35884130001068115, 0.4506928324699402, 0.39729562401771545, 0.3611208200454712, 0.6156318187713623, 0.40533965826034546, 0.40802860260009766, 0.3993401527404785, 0.4431101381778717, 0.4235464036464691, 0.3925264775753021, 0.41092348098754883, 0.43395236134529114, 0.35645347833633423, 0.3643556833267212, 0.35242193937301636, 0.3108096122741699, 0.4049221873283386, 0.30128440260887146, 0.3683489263057709, 0.44683170318603516, 0.41530272364616394, 0.38230282068252563, 0.406194806098938, 0.35599619150161743, 0.2573219835758209, 0.2989688217639923, 0.2767748236656189, 0.2970202565193176, 0.45482295751571655, 0.38483357429504395, 0.2735595703125, 0.36324191093444824, 0.2972384989261627, 0.4395044445991516, 0.2950671911239624, 0.3513065576553345, 0.3181746006011963, 0.35018303990364075, 0.3044474124908447, 0.35670775175094604, 0.32769009470939636, 0.22780905663967133, 0.2695913314819336, 0.30912360548973083, 0.3333843946456909, 0.3867802023887634, 0.32389193773269653]",84,36,0.41168664395809174,1,1
128,10000000,min,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,128,24,3072,1,128,80,19.38186264038086,34.679100036621094,15.297237396240234,0.6669267416000366,0.5001996755599976,0.9465668797492981,0.07915037125349045,3.7872767448425293,"[0.7364094257354736, 0.6257566213607788, 0.6519597768783569, 0.5876115560531616, 0.6654360294342041, 0.6537913084030151, 0.7172883749008179, 0.7456461191177368, 0.7146600484848022, 0.7965055108070374, 0.6779229640960693, 0.812477707862854, 0.7051628828048706, 0.607306718826294, 0.6019787788391113, 0.6670872569084167, 0.620824933052063, 0.573462963104248, 0.5953792333602905, 0.5803136825561523, 0.5567000508308411, 0.6618947386741638, 0.6193825602531433, 0.6296567320823669, 0.5001996755599976, 0.691422700881958, 0.6863865852355957, 0.6765860319137573, 0.6478245258331299, 0.7170443534851074, 0.6017385125160217, 0.602126955986023, 0.7375208139419556, 0.7439466118812561, 0.7323347330093384, 0.7682624459266663, 0.5660957098007202, 0.6322137713432312, 0.7401329278945923, 0.6542595624923706, 0.7697321176528931, 0.8852494955062866, 0.751714825630188, 0.6567228436470032, 0.5665723085403442, 0.676263689994812, 0.6741006970405579, 0.9205576777458191, 0.6188819408416748, 0.5996401309967041, 0.7522629499435425, 0.7508593797683716, 0.7982937097549438, 0.8015530109405518, 0.918317437171936, 0.9465668797492981, 0.6653134822845459, 0.5662345290184021, 0.6972286105155945, 0.6156207323074341, 0.674927294254303, 0.6484506726264954, 0.6573355197906494, 0.6063952445983887, 0.6140248775482178, 0.6137580871582031, 0.7041963338851929, 0.6319800615310669, 0.6394424438476562, 0.6777903437614441, 0.6235098838806152, 0.6071963310241699, 0.5560588836669922, 0.62580406665802, 0.621626615524292, 0.7681266069412231, 0.697209894657135, 0.6050535440444946, 0.7116587162017822, 0.7018359899520874, 0.5966464281082153, 0.6567212343215942, 0.5650292634963989, 0.6205446720123291, 0.6339243650436401, 0.5633742809295654, 0.6516375541687012, 0.62154221534729, 0.6437997817993164, 0.6806945204734802, 0.7732155323028564, 0.7833799123764038, 0.5893654823303223, 0.6238547563552856, 0.5970839262008667, 0.6154905557632446, 0.6696286797523499, 0.6965293884277344, 0.7086565494537354, 0.6539262533187866, 0.723619818687439, 0.7315857410430908, 0.6848857402801514, 0.686233401298523, 0.7291393280029297, 0.7197470664978027, 0.6568987965583801, 0.5477744340896606, 0.5740821957588196, 0.5072084069252014, 0.572616696357727, 0.5076795220375061, 0.6249164342880249, 0.6387913227081299, 0.6689040064811707, 0.6990165114402771, 0.624232828617096, 0.6160136461257935, 0.6508665680885315, 0.6568974256515503, 0.7398227453231812, 0.6171904802322388, 0.6153897643089294, 0.6895339488983154, 0.7537064552307129, 0.6877075433731079, 0.7252336740493774, 0.6511049270629883]",55,24,0.44636720418930054,1,1
128,10000000,max,2,128,12,0.0003,0.1,32000,1,1,False,2,False,1.0,12,12,1,1,128,24,3072,1,128,80,15.4674072265625,35.089744567871094,19.622337341308594,0.6779415011405945,0.540247917175293,0.9892107248306274,0.09447339922189713,4.291141510009766,"[0.6606622934341431, 0.6018639206886292, 0.6645596027374268, 0.6655741333961487, 0.6515235900878906, 0.6258300542831421, 0.7037143707275391, 0.7122051119804382, 0.6534488797187805, 0.7944281697273254, 0.7329908609390259, 0.6608657836914062, 0.743769645690918, 0.574401319026947, 0.6395366191864014, 0.6452507972717285, 0.6359648704528809, 0.6304320096969604, 0.6057755947113037, 0.7251911163330078, 0.6136114001274109, 0.8650720715522766, 0.7695654034614563, 0.9478274583816528, 0.7620829343795776, 0.6539160013198853, 0.5912560820579529, 0.6725940704345703, 0.581439733505249, 0.6881763935089111, 0.5967023968696594, 0.6712808609008789, 0.6444557905197144, 0.628989577293396, 0.6458292007446289, 0.6115627884864807, 0.6045465469360352, 0.6753049492835999, 0.6263554096221924, 0.7006018161773682, 0.6249510049819946, 0.6292018294334412, 0.6959223747253418, 0.6793367862701416, 0.6242824792861938, 0.6450007557868958, 0.5998932123184204, 0.6306144595146179, 0.6871370077133179, 0.635310173034668, 0.691578209400177, 0.6831893920898438, 0.6463153958320618, 0.7011971473693848, 0.5684661269187927, 0.6049438118934631, 0.636425256729126, 0.8806132674217224, 0.8046568632125854, 0.7952533960342407, 0.7271667718887329, 0.8179894089698792, 0.8271353244781494, 0.57818603515625, 0.6247060894966125, 0.6146301031112671, 0.6231442093849182, 0.7933908700942993, 0.6104691028594971, 0.6083688139915466, 0.6828734874725342, 0.6520740389823914, 0.6482846736907959, 0.6623901128768921, 0.659163236618042, 0.6308602094650269, 0.6287319660186768, 0.6567243337631226, 0.6378726959228516, 0.7271310091018677, 0.632077157497406, 0.6481810808181763, 0.6510294675827026, 0.5779018402099609, 0.6753734946250916, 0.9065346717834473, 0.6405388116836548, 0.6650413274765015, 0.572196900844574, 0.6184383034706116, 0.6571341753005981, 0.613639771938324, 0.6307492256164551, 0.5978318452835083, 0.6772182583808899, 0.571719229221344, 0.6982024908065796, 0.6186779737472534, 0.5847557187080383, 0.7006030082702637, 0.6614288091659546, 0.6565062403678894, 0.6103660464286804, 0.6214502453804016, 0.9373389482498169, 0.8360304236412048, 0.9892107248306274, 0.9825400114059448, 0.9550107717514038, 0.9873106479644775, 0.9047905206680298, 0.6697662472724915, 0.6704418063163757, 0.6757140159606934, 0.6269468665122986, 0.6240639090538025, 0.6106408834457397, 0.610261082649231, 0.540247917175293, 0.5873121619224548, 0.6088548898696899, 0.6053445935249329, 0.6606632471084595, 0.667406439781189, 0.6123800277709961, 0.6937140226364136, 0.6803814768791199, 0.7978043556213379]",106,118,0.4489628076553345,1,1
